Time [s],Reb PC,Env PC
23.745480000,1,1
23.745582000,0,1
23.746104000,1,1
23.757408000,1,0
23.757512000,1,1
23.757616000,1,0
23.757720000,1,1
23.757928000,1,0
23.758344000,1,1
23.758448000,1,0
23.758656000,1,1
23.758866000,1,0
23.759178000,1,1
23.759282000,1,0
23.759386000,1,1
23.792148000,0,1
23.793086000,1,1
23.793294000,0,1
23.793400000,1,1
23.793606000,0,1
23.794128000,1,1
23.805426000,1,0
23.805530000,1,1
23.805634000,1,0
23.805740000,1,1
23.805948000,1,0
23.806364000,1,1
23.806468000,1,0
23.806678000,1,1
23.806886000,1,0
23.807198000,1,1
23.807302000,1,0
23.807406000,1,1
23.840172000,0,1
23.841112000,1,1
23.841318000,0,1
23.841528000,1,1
23.841630000,0,1
23.842152000,1,1
23.853324000,1,0
23.853428000,1,1
23.853532000,1,0
23.853636000,1,1
23.853844000,1,0
23.854262000,1,1
23.854366000,1,0
23.854576000,1,1
23.854784000,1,0
23.855096000,1,1
23.855200000,1,0
23.855304000,1,1
23.887988000,0,1
23.888926000,1,1
23.889134000,0,1
23.889344000,1,1
23.889446000,0,1
23.889968000,1,1
23.901130000,1,0
23.901234000,1,1
23.901338000,1,0
23.901442000,1,1
23.901650000,1,0
23.902066000,1,1
23.902170000,1,0
23.902378000,1,1
23.902586000,1,0
23.902898000,1,1
23.903002000,1,0
23.903106000,1,1
23.935804000,0,1
23.936744000,1,1
23.936950000,0,1
23.937160000,1,1
23.937262000,0,1
23.937784000,1,1
23.949244000,1,0
23.949348000,1,1
23.949452000,1,0
23.949558000,1,1
23.949766000,1,0
23.950182000,1,1
23.950286000,1,0
23.950494000,1,1
23.950702000,1,0
23.951016000,1,1
23.951120000,1,0
23.951224000,1,1
23.983932000,0,1
23.984872000,1,1
23.985078000,0,1
23.985288000,1,1
23.985390000,0,1
23.985912000,1,1
23.997246000,1,0
23.997350000,1,1
23.997454000,1,0
23.997558000,1,1
23.997766000,1,0
23.998182000,1,1
23.998286000,1,0
23.998494000,1,1
23.998700000,1,0
23.999012000,1,1
23.999116000,1,0
23.999220000,1,1
24.031956000,0,1
24.032894000,1,1
24.033102000,0,1
24.033312000,1,1
24.033414000,0,1
24.033936000,1,1
24.045134000,1,0
24.045240000,1,1
24.045344000,1,0
24.045448000,1,1
24.045656000,1,0
24.046072000,1,1
24.046176000,1,0
24.046386000,1,1
24.046594000,1,0
24.046906000,1,1
24.047010000,1,0
24.047114000,1,1
24.079876000,0,1
24.080814000,1,1
24.081022000,0,1
24.081128000,1,1
24.081334000,0,1
24.081856000,1,1
24.093036000,1,0
24.093140000,1,1
24.093244000,1,0
24.093348000,1,1
24.093558000,1,0
24.093974000,1,1
24.094078000,1,0
24.094286000,1,1
24.094494000,1,0
24.094806000,1,1
24.094910000,1,0
24.095014000,1,1
24.127692000,0,1
24.128630000,1,1
24.128838000,0,1
24.128944000,1,1
24.129150000,0,1
24.129672000,1,1
24.141044000,1,0
24.141148000,1,1
24.141252000,1,0
24.141356000,1,1
24.141564000,1,0
24.141982000,1,1
24.142086000,1,0
24.142294000,1,1
24.142502000,1,0
24.142814000,1,1
24.142918000,1,0
24.143022000,1,1
24.175716000,0,1
24.176656000,1,1
24.176862000,0,1
24.177072000,1,1
24.177174000,0,1
24.177696000,1,1
24.189058000,1,0
24.189164000,1,1
24.189268000,1,0
24.189372000,1,1
24.189580000,1,0
24.189996000,1,1
24.190100000,1,0
24.190308000,1,1
24.190514000,0,0
24.190516000,1,0
24.190828000,1,1
24.190930000,1,0
24.191036000,1,1
24.223740000,0,1
24.224680000,1,1
24.224886000,0,1
24.225096000,1,1
24.225198000,0,1
24.225720000,1,1
24.236942000,1,0
24.237046000,1,1
24.237150000,1,0
24.237254000,1,1
24.237462000,1,0
24.237880000,1,1
24.237984000,1,0
24.238192000,1,1
24.238400000,1,0
24.238712000,1,1
24.238816000,1,0
24.238920000,1,1
24.271660000,0,1
24.272598000,1,1
24.272806000,0,1
24.273016000,1,1
24.273118000,0,1
24.273640000,1,1
24.284848000,1,0
24.284952000,1,1
24.285056000,1,0
24.285160000,1,1
24.285368000,1,0
24.285786000,1,1
24.285890000,1,0
24.286098000,1,1
24.286306000,1,0
24.286618000,1,1
24.286724000,1,0
24.286828000,1,1
24.319580000,0,1
24.320518000,1,1
24.320726000,0,1
24.320832000,1,1
24.321038000,0,1
24.321560000,1,1
24.332972000,1,0
24.333076000,1,1
24.333180000,1,0
24.333284000,1,1
24.333492000,1,0
24.333908000,1,1
24.334012000,1,0
24.334222000,1,1
24.334430000,1,0
24.334742000,1,1
24.334846000,1,0
24.334950000,1,1
24.367708000,0,1
24.368648000,1,1
24.368854000,0,1
24.369064000,1,1
24.369166000,0,1
24.369688000,1,1
24.380772000,1,0
24.380876000,1,1
24.380980000,1,0
24.381084000,1,1
24.381292000,1,0
24.381710000,1,1
24.381814000,1,0
24.382022000,1,1
24.382230000,1,0
24.382542000,1,1
24.382646000,1,0
24.382750000,1,1
24.415524000,0,1
24.416464000,1,1
24.416670000,0,1
24.416880000,1,1
24.416982000,0,1
24.417504000,1,1
24.428880000,1,0
24.428984000,1,1
24.429088000,1,0
24.429192000,1,1
24.429400000,1,0
24.429816000,1,1
24.429920000,1,0
24.430128000,1,1
24.430338000,1,0
24.430650000,1,1
24.430754000,1,0
24.430858000,1,1
24.463548000,0,1
24.464488000,1,1
24.464694000,0,1
24.464904000,1,1
24.465006000,0,1
24.465528000,1,1
24.476778000,1,0
24.476882000,1,1
24.476986000,1,0
24.477092000,1,1
24.477300000,1,0
24.477716000,1,1
24.477822000,1,0
24.478030000,1,1
24.478238000,1,0
24.478550000,1,1
24.478654000,1,0
24.478758000,1,1
24.511468000,0,1
24.512406000,1,1
24.512614000,0,1
24.512720000,1,1
24.512926000,0,1
24.513448000,1,1
24.524800000,1,0
24.524904000,1,1
24.525008000,1,0
24.525112000,1,1
24.525320000,1,0
24.525736000,1,1
24.525842000,1,0
24.526050000,1,1
24.526258000,1,0
24.526570000,1,1
24.526674000,1,0
24.526778000,1,1
24.559492000,0,1
24.560430000,1,1
24.560638000,0,1
24.560848000,1,1
24.560950000,0,1
24.561472000,1,1
24.572724000,1,0
